Amazing Stories,1986,111,7.2,A compilation of episodes from the anthology SF/Fantasy TV series.
Michael Jackson: Smooth Criminal (II),1988,48,8.4,Michael tried to protect three children as he is chased by Mr Big and his army across a city. Excerpt from Moonwalker 1988.
Show Pieces,2014,78,6.5,From the mindscape of Alan Moore comes an anthology of three shorts linked by the Northampton netherworld.
Glamour,2014,135,6.9,A successful businessman is accused of rape and murder and his ex law school professor and a succesful lawyer is hired to release him of all charges.
Nun-gil,2015,122,7.1,Follows two Korean girls who unwillingly get taken from their homes during the Japanese occupation of Korea.
Shomareh 17 Soheila,2017,78,5.7,The story of a middle aged woman Soheila who has genetic problems and over weighting so she decides to get marry as soon as possible and have a baby.
Qian ren 3: Zai jian qian ren,2017,120,5.5,A couples relationship is tested by the untimely appearances of their exes!
Siargao,2017,110,5.7,Three souls vibe in the island off of northeastern Mindanao.
All of You,2017,103,5.3,"Two strangers meet on a dating app and experience instant chemistry, but their relationship unravels as jarring differences catch up to them."
Gandarrapiddo! The Revenger Squad,2017,110,3.6,The Revenger Squad reveal their superpowers when one of their youngest turns twenty-one and receives his own powers.
Mental Madhilo,2017,142,7.4,"An indecisive guy who has been rejected by several women, finds himself in a spot when he has to choose between two women."
Watashitachi no ie,2017,80,6.2,"In this creepy thriller, two people share the same house but do not realize the other is also there."
Die Tomorrow,2017,75,7.2,An anthology of short stories about the last day of people's lives inspired by newspaper headlines from 2012-2016.
Malli Raava,2017,129,8.0,"The love story of Karthik and Anjali, whose paths cross at three different phases of their lives."
Er dai yao jing,2017,110,5.3,A debt-ridden animal-breeder falls in love with a fox demon who tries to pay back her debt of gratitude for him.
Si muore tutti democristiani,2017,89,6.4,Three artists must choose between money and their moral integrity
Retablo,2017,95,7.6,"Segundo Paucar, wants to become a master story-box maker just like his father to carry on with the family legacy."
So-gong-nyeo,2017,106,7.3,"Whiskey and cigarettes, the only ways of keeping her dignity in this city."
Anons,2017,94,6.7,The night long journey of the 4 soldiers discharged from the army.
Bittin Sen,2017,100,3.5,Pelin's story of revenge filled with adventure and comedy that finds herself in a separation speech while waiting for a marriage proposal.
Lyubov v Gorode Angelov,2017,90,3.5,Contemporary Los Angeles. Two jaded and unromantic Russian-Americans - an unlikely match - find love together in the City of Angels.
